10813,Xuân Tăng,Phường,"22 24 54N, 104 03 00E",329,36
1633,Bình Minh,Phường,"22 25 54N, 104 01 27E",329,36
9209,Thống Nhất,Phường,"22 24 00N, 104 02 47E",329,36
620,Đồng Tuyển,Xã,"22 29 40N, 103 56 48E",329,36
10227,Vạn Hoà,Xã,"22 28 39N, 104 00 50E",329,36
1864,Bắc Cường,Phường,"22 27 19N, 103 58 39E",329,36
5691,Nam Cường,Phường,"22 26 25N, 103 59 22E",329,36
2189,Cam Đường,Xã,"22 24 50N, 103 59 37E",329,36
8525,Tả Phời,Xã,"22 22 33N, 103 57 26E",329,36
3693,Hợp Thành,Xã,"22 21 47N, 104 00 45E",329,36
1505,Bát Xát,Thị Trấn,"22 32 23N, 103 53 13E",89,36
1203,A Mú Sung,Xã,"22 44 05N, 103 38 32E",89,36
5811,Nậm Chạc,Xã,"22 42 29N, 103 41 25E",89,36
1201,A Lù,Xã,"22 42 29N, 103 35 47E",89,36
9893,Trịnh Tường,Xã,"22 39 38N, 103 43 26E",89,36
5877,Ngải Thầu,Xã,"22 40 41N, 103 36 46E",89,36
10889,Y Tý,Xã,"22 37 27N, 103 36 14E",89,36
2311,Cốc Mỳ,Xã,"22 36 41N, 103 45 12E",89,36
2818,Dền Sáng,Xã,"22 35 18N, 103 39 51E",89,36
1825,Bản Vược,Xã,"22 35 14N, 103 48 24E",89,36
7756,Sàng Ma Sáo,Xã,"22 33 20N, 103 38 02E",89,36
1820,Bản Qua,Xã,"22 32 42N, 103 51 36E",89,36
5297,Mường Vi,Xã,"22 32 40N, 103 47 53E",89,36
2819,Dền Thàng,Xã,"22 33 06N, 103 42 51E",89,36
1826,Bản Xèo,Xã,"22 31 41N, 103 45 06E",89,36
5249,Mường Hum,Xã,"22 30 49N, 103 41 16E",89,36
9962,Trung Lèng Hồ,Xã,"22 27 39N, 103 38 05E",89,36
7375,Quang Kim,Xã,"22 30 31N, 103 53 21E",89,36
6444,Pa Cheo,Xã,"22 29 21N, 103 46 32E",89,36
5842,Nậm Pung,Xã,"22 28 37N, 103 43 17E",89,36
6464,Phìn Ngan,Xã,"22 27 40N, 103 50 34E",89,36
2315,Cốc San,Xã,"22 27 31N, 103 56 05E",89,36
10029,Tòng Sành,Xã,"22 26 58N, 103 54 13E",89,36
6521,Pha Long,Xã,"22 48 33N, 104 13 56E",364,36
8518,Tả Ngải Chồ,Xã,"22 48 09N, 104 11 48E",364,36
10074,Tung Chung Phố,Xã,"22 46 44N, 104 08 45E",364,36
5251,Mường Khương,Xã,"22 46 15N, 104 06 12E",364,36
2696,Dìn Chin,Xã,"22 46 28N, 104 13 11E",364,36
8514,Tả Gia Khâu,Xã,"22 44 30N, 104 14 09E",364,36
5810,Nậm Chảy,Xã,"22 41 58N, 104 03 24E",364,36
5828,Nấm Lư,Xã,"22 43 51N, 104 09 05E",364,36
4917,Lùng Khấu Nhin,Xã,"22 42 10N, 104 09 23E",364,36
9025,Thanh Bình,Xã,"22 41 38N, 104 05 56E",364,36
2265,Cao Sơn,Xã,"22 38 33N, 104 09 35E",364,36
4922,Lùng Vai,Xã,"22 37 32N, 104 04 40E",364,36
1805,Bản Lầu,Xã,"22 34 33N, 104 02 40E",364,36
4718,La Pan Tẩn,Xã,"22 34 38N, 104 08 38E",364,36
8528,Tả Thàng,Xã,"22 34 15N, 104 10 56E",364,36
1822,Bản Sen,Xã,"22 34 12N, 104 06 06E",364,36
5656,Nàn Sán,Xã,"22 42 49N, 104 15 59E",513,36
8790,Thào Chư Phìn,Xã,"22 41 59N, 104 11 40E",513,36
1810,Bản Mế,Xã,"22 41 49N, 104 13 31E",513,36
7788,Si Ma Cai,Xã,"22 42 16N, 104 17 42E",513,36
7587,Sán Chải,Xã,"22 41 48N, 104 18 21E",513,36
5169,Mản Thẩn,Xã,"22 40 01N, 104 15 18E",513,36
4920,Lùng Sui,Xã,"22 39 39N, 104 20 13E",513,36
2093,Cán Cấu,Xã,"22 38 25N, 104 17 54E",513,36
7857,Sín Chéng,Xã,"22 38 34N, 104 13 03E",513,36
2095,Cán Hồ,Xã,"22 39 30N, 104 16 51E",513,36
6815,Phú Cường,Xã,"21 12 21N, 105 47 12E",509,25
6911,Phú Minh,Xã,"21 12 11N, 105 49 07E",509,25
6583,Phù Lỗ,Xã,"21 12 11N, 105 51 04E",509,25
10853,Xuân Thu,Xã,"21 11 51N, 105 53 23E",509,25
67,Đông Anh,Thị Trấn,"21 09 05N, 105 50 39E",6,25
10770,Xuân Nộn,Xã,"21 10 58N, 105 52 05E",6,25
9491,Thuỵ Lâm,Xã,"21 10 38N, 105 53 49E",6,25
1868,Bắc Hồng,Xã,"21 10 39N, 105 48 11E",6,25
6187,Nguyên Khê,Xã,"21 10 36N, 105 50 05E",6,25
5718,Nam Hồng,Xã,"21 09 48N, 105 47 09E",6,25
9504,Tiên Dương,Xã,"21 08 54N, 105 49 49E",6,25
10189,Vân Hà,Xã,"21 09 03N, 105 54 45E",6,25
10096,Uy Nỗ,Xã,"21 08 41N, 105 51 26E",6,25
10201,Vân Nội,Xã,"21 08 46N, 105 48 38E",6,25
4864,Liên Hà,Xã,"21 08 46N, 105 53 37E",6,25
10320,Việt Hùng,Xã,"21 08 27N, 105 52 38E",6,25
4434,Kim Nỗ,Xã,"21 08 14N, 105 47 43E",6,25
4407,Kim Chung,Xã,"21 08 03N, 105 46 27E",6,25
2817,Dục Tú,Xã,"21 06 53N, 105 53 53E",6,25
407,Đại Mạch,Xã,"21 07 08N, 105 44 53E",6,25
10521,Vĩnh Ngọc,Xã,"21 06 42N, 105 49 27E",6,25
2179,Cổ Loa,Xã,"21 06 49N, 105 51 45E",6,25
3309,Hải Bối,Xã,"21 06 34N, 105 47 48E",6,25
10677,Xuân Canh,Xã,"21 05 47N, 105 50 59E",6,25
10269,Võng La,Xã,"21 06 33N, 105 46 06E",6,25
8648,Tầm Xá,Xã,"21 05 57N, 105 49 59E",6,25
5205,Mai Lâm,Xã,"21 05 27N, 105 53 14E",6,25
99,Đông Hội,Xã,"21 05 12N, 105 52 02E",6,25
11091,Yên Viên,Thị Trấn,"21 05 10N, 105 54 46E",219,25
11067,Yên Thường,Xã,"21 06 18N, 105 54 59E",219,25
11090,Yên Viên,Xã,"21 05 24N, 105 54 32E",219,25
6357,Ninh Hiệp,Xã,"21 04 47N, 105 57 02E",219,25
248,Đình Xuyên,Xã,"21 04 40N, 105 55 57E",219,25
2715,Dương Hà,Xã,"21 03 53N, 105 55 51E",219,25
6575,Phù Đổng,Xã,"21 03 25N, 105 57 46E",219,25
9967,Trung Mầu,Xã,"21 03 40N, 105 59 10E",219,25
4942,Lệ Chi,Xã,"21 02 59N, 106 00 10E",219,25
2175,Cổ Bi,Xã,"21 01 59N, 105 56 17E",219,25
488,Đặng Xá,Xã,"21 01 59N, 105 57 46E",219,25
7002,Phú Thị,Xã,"21 01 35N, 105 57 57E",219,25
4441,Kim Sơn,Xã,"21 01 41N, 105 59 28E",219,25
9656,Trâu Quỳ,Thị Trấn,"21 00 35N, 105 56 12E",219,25
2727,Dương Quang,Xã,"21 00 29N, 105 59 18E",219,25
2733,Dương Xá,Xã,"21 00 09N, 105 57 43E",219,25
80,Đông Dư,Xã,"20 59 46N, 105 54 45E",219,25
482,Đa Tốn,Xã,"20 59 08N, 105 56 03E",219,25
4388,Kiêu Kỵ,Xã,"20 58 48N, 105 56 55E",219,25
1503,Bát Tràng,Xã,"20 58 49N, 105 54 51E",219,25
4421,Kim Lan,Xã,"20 57 45N, 105 54 05E",219,25
10101,Văn Đức,Xã,"20 56 30N, 105 53 44E",219,25
2293,Cầu Diễn,Thị Trấn,"21 02 26N, 105 45 45E",607,25
9265,Thượng Cát,Xã,"21 05 44N, 105 44 03E",607,25
4883,Liên Mạc,Xã,"21 05 18N, 105 15 42E",607,25
152,Đông Ngạc,Xã,"21 05 08N, 105 46 54E",607,25
9492,Thuỵ Phương,Xã,"21 05 03N, 105 46 04E",607,25
8478,Tây Tựu,Xã,"21 04 14N, 105 43 55E",607,25
10662,Xuân Đỉnh,Xã,"21 04 06N, 105 47 24E",607,25
5358,Minh Khai,Xã,"21 03 39N, 105 44 41E",607,25
2182,Cổ Nhuế,Xã,"21 03 37N, 105 46 24E",607,25
6823,Phú Diễn,Xã,"21 03 00N, 105 45 22E",607,25
10777,Xuân Phương,Xã,"21 02 26N, 105 44 28E",607,25
5443,Mỹ Đình,Xã,"21 01 44N, 105 46 02E",607,25
8461,Tây Mỗ,Xã,"21 00 33N, 105 44 29E",607,25
5435,Mễ Trì,Xã,"20 00 26N, 105 46 17E",607,25
408,Đại Mỗ,Xã,"20 59 54N, 105 45 06E",607,25
10015,Trung Văn,Xã,"20 59 38N, 105 46 47E",607,25
10100,Văn Điển,Thị Trấn,"20 56 58N, 105 50 36E",581,25
8414,Tân Triều,Xã,"20 58 27N, 105 47 51E",581,25
9085,Thanh Liệt,Xã,"20 57 47N, 105 48 40E",581,25
8529,Tả Thanh Oai,Xã,"20 56 09N, 105 48 11E",581,25
3107,Hữu Hoà,Xã,"20 56 49N, 105 47 46E",581,25
8582,Tam Hiệp,Xã,"20 57 04N, 105 49 41E",581,25
9616,Tứ Hiệp,Xã,"20 56 49N, 105 51 11E",581,25
10988,Yên Mỹ,Xã,"20 56 35N, 105 52 25E",581,25
10554,Vĩnh Quỳnh,Xã,"20 55 58N, 105 49 43E",581,25
6167,Ngũ Hiệp,Xã,"20 55 43N, 105 51 30E",581,25
2863,Duyên Hà,Xã,"20 55 32N, 105 52 36E",581,25
5935,Ngọc Hồi,Xã,"20 55 11N, 105 50 31E",581,25
10242,Vạn Phúc,Xã,"20 55 06N, 105 53 47E",581,25
357,Đại áng,Xã,"20 54 42N, 105 49 06E",581,25
4889,Liên Ninh,Xã,"20 54 35N, 105 51 07E",581,25
149,Đông Mỹ,Xã,"20 54 58N, 105 52 34E",581,25
7412,Quang Trung,Phường,"22 50 54N, 104 59 01E",243,23
9767,Trần Phú,Phường,"22 50 04N, 104 59 28E",243,23
5932,Ngọc Hà,Phường,,243,23
6207,Nguyễn Trãi,Phường,"22 49 05N, 104 58 21E",243,23
5357,Minh Khai,Phường,"22 50 31N, 105 02 00E",243,23
5921,Ngọc Đường,Xã,"22 50 31N, 105 02 00E",243,23
4458,Kim Thạch,Xã,"22 47 34N, 105 02 34E",675,23
6898,Phú Linh,Xã,"22 44 14N, 105 01 00E",675,23
4425,Kim Linh,Xã,"22 44 51N, 105 05 17E",675,23
6519,Phó Bảng,Thị Trấn,"23 15 14N, 105 11 14E",36,23
4993,Lũng Cú,Xã,"23 21 30N, 105 18 48E",36,23
5154,Má Lé,Xã,"23 18 52N, 105 18 34E",36,23
621,Đồng Văn,Thị Trấn,"23 17 23N, 105 21 29E",36,23
5074,Lũng Táo,Xã,"23 17 00N, 105 16 15E",36,23
6566,Phố Là,Xã,"23 15 56N, 105 09 42E",36,23
8744,Thài Phìn Tủng,Xã,"23 15 44N, 105 17 56E",36,23
7797,Sủng Là,Xã,"23 14 42N, 105 12 48E",36,23
10645,Xà Phìn,Xã,"23 15 29N, 105 14 55E",36,23
8521,Tả Phìn,Xã,"23 14 15N, 105 18 53E",36,23
8516,Tả Lủng,Xã,"23 14 01N, 105 21 02E",36,23
6562,Phố Cáo,Xã,"23 12 51N, 105 10 11E",36,23
7859,Sính Lủng,Xã,"23 12 53N, 105 16 43E",36,23
7759,Sảng Tủng,Xã,"23 12 24N, 105 14 11E",36,23
5095,Lũng Thầu,Xã,"23 11 18N, 105 10 05E",36,23
3541,Hố Quáng Phìn,Xã,"23 10 21N, 105 16 06E",36,23
10274,Vần Chải,Xã,"23 08 51N, 105 12 21E",36,23
5049,Lũng Phìn,Xã,"23 07 45N, 105 16 33E",36,23
7800,Sủng Trái,Xã,"23 07 25N, 105 14 56E",36,23
5432,Mèo Vạc,Thị Trấn,"23 09 09N, 105 24 21E",383,23
9293,Thượng Phùng,Xã,"23 16 44N, 105 25 49E",383,23
6441,Pải Lủng,Xã,"23 14 32N, 105 23 25E",383,23
10881,Xín Cái,Xã,"23 12 52N, 105 27 27E",383,23
6440,Pả Vi,Xã,"23 12 20N, 105 23 55E",383,23
2967,Giàng Chu Phìn,Xã,"23 11 45N, 105 27 13E",383,23
7802,Sủng Trà,Xã,"23 10 18N, 105 21 09E",383,23
7798,Sủng Máng,Xã,"23 09 22N, 105 20 42E",383,23
7750,Sơn Vĩ,Xã,"23 09 21N, 105 32 26E",383,23
8517,Tả Lủng,Xã,"23 09 14N, 105 23 10E",383,23
2094,Cán Chu Phìn,Xã,"23 08 24N, 105 28 03E",383,23
5063,Lũng Pù,Xã,"23 07 29N, 105 29 51E",383,23
4992,Lũng Chinh,Xã,"23 08 15N, 105 19 39E",383,23
7871,Tát Ngà,Xã,"23 06 06N, 105 25 08E",383,23
5803,Nậm Ban,Xã,"23 04 49N, 105 21 28E",383,23
4345,Khâu Vai,Xã,"23 03 54N, 105 29 03E",383,23
6336,Niêm Tòng,Xã,,383,23
6335,Niêm Sơn,Xã,"23 01 52N, 105 25 34E",383,23
10987,Yên Minh,Thị Trấn,"23 06 58N, 105 08 25E",691,23
8804,Thắng Mố,Xã,"23 13 59N, 105 05 35E",691,23
6906,Phú Lũng,Xã,"23 14 27N, 105 04 04E",691,23
7801,Sủng Tráng,Xã,"23 12 29N, 105 06 44E",691,23
1922,Bạch Đích,Xã,"23 12 22N, 105 02 44E",691,23
5666,Na Khê,Xã,"23 10 13N, 105 01 55E",691,23
7799,Sủng Thài,Xã,"23 10 12N, 105 08 28E",691,23
3123,Hữu Vinh,Xã,"23 08 47N, 105 10 31E",691,23
4763,Lao Và Chải,Xã,"23 06 44N, 105 05 17E",691,23
5303,Mậu Duệ,Xã,"23 03 57N, 105 13 25E",691,23
145,Đông Minh,Xã,"23 05 25N, 105 10 07E",691,23
5305,Mậu Long,Xã,"23 04 21N, 105 17 35E",691,23
6000,Ngam La,Xã,"23 02 46N, 105 10 23E",691,23
5959,Ngọc Long,Xã,"22 59 21N, 105 19 24E",691,23
665,Đường Thượng,Xã,"22 59 20N, 105 10 23E",691,23
5004,Lũng Hồ,Xã,"22 59 01N, 105 14 21E",691,23
2837,Du Tiến,Xã,"22 55 18N, 105 17 24E",691,23
2835,Du Già,Xã,"22 55 28N, 105 12 01E",691,23
8621,Tam Sơn,Thị Trấn,"23 04 16N, 104 58 13E",469,23
1501,Bát Đại Sơn,Xã,"23 08 48N, 104 58 26E",469,23
6151,Nghĩa Thuận,Xã,"23 08 49N, 104 54 48E",469,23
2097,Cán Tỷ,Xã,"23 06 07N, 105 02 37E",469,23
2251,Cao Mã Pờ,Xã,"23 06 27N, 104 50 31E",469,23
9174,Thanh Vân,Xã,"23 06 05N, 104 58 07E",469,23
9565,Tùng Vài,Xã,"23 04 34N, 104 53 00E",469,23
87,Đông Hà,Xã,"23 01 26N, 105 01 38E",469,23
7206,Quản Bạ,Xã,"23 02 43N, 105 00 35E",469,23
4921,Lùng Tám,Xã,"23 02 15N, 105 05 05E",469,23
7575,Quyết Tiến,Xã,"23 00 16N, 104 58 01E",469,23
8530,Tả Ván,Xã,"23 00 53N, 104 51 41E",469,23
8679,Thái An,Xã,"22 58 47N, 105 05 21E",469,23
